YEAR_,STATE,TOTALACRES
1980.0,Alabama,2626.399999999999
1980.0,Alaska,129286.40000000004
1980.0,Arizona,152371.99999999997
1980.0,Arkansas,3102.1999999999985
1980.0,California,211974.50000000955
1980.0,Colorado,12775.200000000028
1980.0,Delaware,0.3
1980.0,District of Columbia,2.2
1980.0,Florida,48735.7
1980.0,Georgia,4494.300000000001
1980.0,Hawaii,20.300000000000004
1980.0,Idaho,128581.0
1980.0,Illinois,66.1
1980.0,Indiana,493.3
1980.0,Iowa,82.0
1980.0,Kansas,16.0
1980.0,Kentucky,9185.0
1980.0,Maryland,1.5
1980.0,Massachusetts,4.1
1980.0,Michigan,25128.699999999993
1980.0,Minnesota,20538.39999999998
1980.0,Mississippi,4279.499999999996
1980.0,Missouri,5653.9000000000015
1980.0,Montana,65410.099999999984
1980.0,Nebraska,2071.3999999999996
1980.0,Nevada,60928.0
1980.0,New Hampshire,3.7000000000000006
1980.0,New Jersey,50.1
1980.0,New Mexico,5404.300000000001
1980.0,New York,274.29999999999995
1980.0,North Carolina,4671.599999999997
1980.0,North Dakota,8471.300000000012
1980.0,Ohio,198.09999999999994
1980.0,Oklahoma,6474.799999999999
1980.0,Oregon,71184.09999999998
1980.0,Pennsylvania,136.0
1980.0,South Carolina,2606.999999999998
1980.0,South Dakota,26880.499999999956
1980.0,Tennessee,1187.6000000000006
1980.0,Texas,10236.4
1980.0,Utah,16832.29999999998
1980.0,Vermont,0.2
1980.0,Virginia,823.6000000000008
1980.0,Washington,2504.199999999997
1980.0,West Virginia,395.99999999999994
1980.0,Wisconsin,4598.1
1980.0,Wyoming,5295.400000000005
1981.0,Alabama,4790.800000000002
1981.0,Alaska,634474.4999999999
1981.0,Arizona,12675.400000000089
1981.0,Arkansas,4278.4
1981.0,California,153720.60000000056
1981.0,Colorado,12675.200000000032
1981.0,Delaware,1.0
1981.0,District of Columbia,6.799999999999999
1981.0,Florida,326363.3999999998
1981.0,Georgia,8704.800000000028
1981.0,Hawaii,68.19999999999999
1981.0,Idaho,683874.7
1981.0,Illinois,71.5
1981.0,Indiana,3142.1
1981.0,Iowa,104.0
1981.0,Kansas,1200.0
1981.0,Kentucky,7254.700000000001
1981.0,Louisiana,0.4
1981.0,Maine,1.7000000000000006
1981.0,Maryland,54.6
1981.0,Massachusetts,17.700000000000003
1981.0,Michigan,1.0
1981.0,Minnesota,3094.299999999997
1981.0,Mississippi,23020.29999999997
1981.0,Missouri,695.3000000000001
1981.0,Montana,28805.4
1981.0,Nebraska,275.1
1981.0,Nevada,50871.5
1981.0,New Hampshire,2.2
1981.0,New Jersey,264.5000000000001
1981.0,New Mexico,1797.8
1981.0,New York,231.09999999999985
1981.0,North Carolina,3492.7999999999956
1981.0,North Dakota,3426.3999999999965
1981.0,Ohio,3.1
1981.0,Oklahoma,4437.3
1981.0,Oregon,121329.39999999998
1981.0,Pennsylvania,213.49999999999997
1981.0,South Carolina,4454.199999999999
1981.0,South Dakota,6506.400000000013
1981.0,Tennessee,1581.5999999999997
1981.0,Texas,3217.7999999999984
1981.0,Utah,80097.60000000033
1981.0,Virginia,7129.600000000004
1981.0,Washington,20447.899999999987
1981.0,West Virginia,1312.3999999999999
1981.0,Wisconsin,79.60000000000002
1981.0,Wyoming,15937.900000000018
1982.0,Alabama,1379.6999999999998
1982.0,Alaska,107441.49999999999
1982.0,Arizona,13885.200000000088
1982.0,Arkansas,1174.6999999999998
1982.0,California,71928.59999999894
1982.0,Colorado,9069.60000000002
1982.0,District of Columbia,1.2
1982.0,Florida,65913.7
1982.0,Georgia,385.4000000000002
1982.0,Hawaii,16.1
1982.0,Idaho,94933.1
1982.0,Indiana,224.39999999999998
1982.0,Kentucky,1141.9
1982.0,Louisiana,0.4
1982.0,Maine,0.9999999999999999
1982.0,Maryland,6.199999999999999
1982.0,Massachusetts,10.299999999999999
1982.0,Michigan,2.3000000000000003
1982.0,Minnesota,890.1000000000006
1982.0,Mississippi,3288.3999999999987
1982.0,Missouri,137.1
1982.0,Montana,27011.900000000005
1982.0,Nebraska,257.0
1982.0,Nevada,17699.399999999998
1982.0,New Jersey,76.8
1982.0,New Mexico,2710.600000000001
1982.0,New York,144.49999999999986
1982.0,North Carolina,1380.8999999999987
1982.0,North Dakota,6553.699999999997
1982.0,Ohio,0.1
1982.0,Oklahoma,2222.5999999999995
1982.0,Oregon,55623.29999999997
1982.0,Pennsylvania,30.6
1982.0,South Carolina,1196.6999999999998
1982.0,South Dakota,2563.799999999997
1982.0,Tennessee,821.2000000000004
1982.0,Texas,1139.6999999999998
1982.0,Utah,77561.60000000021
1982.0,Vermont,5.1
1982.0,Virginia,1775.1999999999994
1982.0,Washington,5749.900000000012
1982.0,West Virginia,486.20000000000005
1982.0,Wisconsin,9.499999999999998
1982.0,Wyoming,2017.1999999999987
1983.0,Alabama,768.9000000000002
1983.0,Alaska,125697.10000000002
1983.0,Arizona,39826.499999999694
1983.0,Arkansas,839.1000000000005
1983.0,California,64055.500000000204
1983.0,Colorado,15238.900000000025
1983.0,Delaware,3.0
1983.0,District of Columbia,0.1
1983.0,Florida,21005.100000000002
1983.0,Georgia,702.6000000000004
1983.0,Hawaii,10805.2
1983.0,Idaho,279694.6
1983.0,Illinois,42.0
1983.0,Indiana,32.3
1983.0,Iowa,2.0
1983.0,Kentucky,1778.5999999999988
1983.0,Louisiana,0.4
1983.0,Maine,0.7
1983.0,Maryland,0.6
1983.0,Massachusetts,5.799999999999998
1983.0,Michigan,2.0
1983.0,Minnesota,2120.7999999999975
1983.0,Mississippi,4530.900000000003
1983.0,Missouri,120.0
1983.0,Montana,83210.89999999995
1983.0,Nebraska,6634.0
1983.0,Nevada,73007.0
1983.0,New Jersey,5.6000000000000005
1983.0,New Mexico,2178.3999999999987
1983.0,New York,291.20000000000084
1983.0,North Carolina,9654.50000000001
1983.0,North Dakota,5840.399999999994
1983.0,Oklahoma,2202.5999999999995
1983.0,Oregon,232752.30000000005
1983.0,Pennsylvania,72.30000000000001
1983.0,South Carolina,1105.6000000000004
1983.0,South Dakota,18179.899999999965
1983.0,Tennessee,692.9000000000005
1983.0,Texas,2586.599999999998
1983.0,Utah,319314.1999999996
1983.0,Virginia,352.4000000000003
1983.0,Washington,11613.600000000004
1983.0,West Virginia,162.7
1983.0,Wisconsin,19.499999999999993
1983.0,Wyoming,6480.0
1984.0,Alabama,997.5000000000001
1984.0,Alaska,198669.50000000006
1984.0,Arizona,32726.099999999227
1984.0,Arkansas,758.6
1984.0,California,175754.2999999986
1984.0,Colorado,12767.800000000036
1984.0,District of Columbia,1.0
1984.0,Florida,32832.4
1984.0,Georgia,689.6000000000004
1984.0,Hawaii,811.2
1984.0,Idaho,209242.1
1984.0,Illinois,3.3
1984.0,Indiana,406.79999999999995
1984.0,Iowa,7.0
1984.0,Kansas,199.5
1984.0,Kentucky,575.9
1984.0,Louisiana,240.0
1984.0,Maine,24.2
1984.0,Maryland,3.2
1984.0,Massachusetts,0.5
1984.0,Michigan,2.0
1984.0,Minnesota,3596.7999999999975
1984.0,Mississippi,3189.6999999999985
1984.0,Missouri,76.1
1984.0,Montana,221549.0000000001
1984.0,Nebraska,838.1
1984.0,Nevada,294160.59999999986
1984.0,New Hampshire,111.59999999999995
1984.0,New Jersey,5.300000000000001
1984.0,New Mexico,793.5000000000009
1984.0,New York,213.19999999999985
1984.0,North Carolina,1579.6999999999994
1984.0,North Dakota,5542.699999999996
1984.0,Ohio,0.1
1984.0,Oklahoma,5579.6
1984.0,Oregon,170295.90000000023
1984.0,Pennsylvania,370.9000000000001
1984.0,South Carolina,947.0000000000002
1984.0,South Dakota,12003.40000000001
1984.0,Tennessee,1059.8000000000004
1984.0,Texas,11220.200000000008
1984.0,Utah,31686.79999999997
1984.0,Virginia,1627.6999999999996
1984.0,Washington,227372.80000000022
1984.0,West Virginia,163.1
1984.0,Wisconsin,32.30000000000004
1984.0,Wyoming,842.2000000000004
1985.0,Alabama,3928.0999999999995
1985.0,Alaska,672305.0999999992
1985.0,Arizona,30298.299999999737
1985.0,Arkansas,903.1000000000001
1985.0,California,5434791.499999957
1985.0,Colorado,9530.900000000087
1985.0,Delaware,1061.6
1985.0,District of Columbia,11.399999999999999
1985.0,Florida,137964.10000000018
1985.0,Georgia,9136.500000000013
1985.0,Hawaii,301.3
1985.0,Idaho,306910.19999999955
1985.0,Illinois,25.0
1985.0,Indiana,161.70000000000002
1985.0,Kansas,1.0
1985.0,Kentucky,1479.8
1985.0,Louisiana,14211.100000000002
1985.0,Maine,1098.2999999999997
1985.0,Maryland,59.6
1985.0,Massachusetts,0.5
1985.0,Michigan,1.4000000000000001
1985.0,Minnesota,1923.2999999999997
1985.0,Mississippi,3167.3999999999987
1985.0,Missouri,127.19999999999999
1985.0,Montana,27753.499999999713
1985.0,Nebraska,13622.7
1985.0,Nevada,927872.199999999
1985.0,New Hampshire,1.2000000000000002
1985.0,New Jersey,120.09999999999997
1985.0,New Mexico,5517.000000000001
1985.0,New York,172.09999999999982
1985.0,North Carolina,13205.300000000012
1985.0,North Dakota,5492.099999999996
1985.0,Ohio,0.2
1985.0,Oklahoma,2414.9
1985.0,Oregon,387448.1999999996
1985.0,Pennsylvania,238.49999999999997
1985.0,Puerto Rico,55.0
1985.0,South Carolina,6573.300000000001
1985.0,South Dakota,112587.29999999992
1985.0,Tennessee,1477.4999999999995
1985.0,Texas,2763.9999999999973
1985.0,Utah,49527.79999999991
1985.0,Vermont,3.1
1985.0,Virginia,1972.8999999999999
1985.0,Washington,82268.50000000017
1985.0,West Virginia,266.5
1985.0,Wisconsin,520.4000000000004
1985.0,Wyoming,133763.20000000024
1986.0,Alabama,3247.5999999999985
1986.0,Alaska,699767.2999999991
1986.0,Arizona,56961.399999998444
1986.0,Arkansas,2897.399999999999
1986.0,California,59727.59999999845
1986.0,Colorado,31385.399999999772
1986.0,Delaware,501.0
1986.0,District of Columbia,0.6
1986.0,Florida,115776.6
1986.0,Georgia,3839.099999999996
1986.0,Hawaii,3275.1
1986.0,Idaho,524462.4000000015
1986.0,Illinois,573.0
1986.0,Indiana,1334.2999999999993
1986.0,Iowa,33.0
1986.0,Kansas,352.00000000000006
1986.0,Kentucky,2079.5
1986.0,Louisiana,20665.699999999993
1986.0,Maine,2.2
1986.0,Maryland,33.400000000000006
1986.0,Massachusetts,4.3999999999999995
1986.0,Michigan,292.70000000000016
1986.0,Minnesota,892.8000000000003
1986.0,Mississippi,7093.399999999999
1986.0,Missouri,7689.999999999999
1986.0,Montana,16359.100000000131
1986.0,Nebraska,5540.300000000005
1986.0,Nevada,137673.3000000005
1986.0,New Jersey,37.0
1986.0,New Mexico,7506.399999999999
1986.0,New York,519.2000000000003
1986.0,North Carolina,12017.900000000012
1986.0,North Dakota,2985.3999999999965
1986.0,Ohio,858.7000000000004
1986.0,Oklahoma,5698.000000000001
1986.0,Oregon,420419.40000000043
1986.0,Pennsylvania,54.40000000000001
1986.0,South Carolina,2058.2999999999984
1986.0,South Dakota,1448.6000000000008
1986.0,Tennessee,2475.399999999999
1986.0,Texas,20333.100000000013
1986.0,Utah,163841.20000000013
1986.0,Virginia,8206.0
1986.0,Washington,12799.100000000031
1986.0,West Virginia,129.2
1986.0,Wisconsin,204.89999999999992
1986.0,Wyoming,6421.000000000049
1987.0,Alabama,5723.499999999998
1987.0,Alaska,218248.2000000002
1987.0,Arizona,78335.59999999875
1987.0,Arkansas,4502.799999999999
1987.0,California,898517.1999999739
1987.0,Colorado,37241.49999999985
1987.0,Delaware,0.5
1987.0,District of Columbia,0.4
1987.0,Florida,39824.29999999998
1987.0,Georgia,2643.1999999999994
1987.0,Guam,1037.6
1987.0,Hawaii,15563.1
1987.0,Idaho,313736.8000000019
1987.0,Illinois,927.5
1987.0,Indiana,974.7000000000002
1987.0,Iowa,154.9
1987.0,Kansas,250.39999999999998
1987.0,Kentucky,33563.99999999998
1987.0,Louisiana,17117.699999999993
1987.0,Maine,0.0
1987.0,Maryland,13.2
1987.0,Massachusetts,29.700000000000003
1987.0,Michigan,4874.900000000004
1987.0,Minnesota,50504.3
1987.0,Mississippi,12750.900000000007
1987.0,Missouri,10163.600000000011
1987.0,Montana,5573.699999999986
1987.0,Nebraska,4687.5999999999985
1987.0,Nevada,92183.30000000006
1987.0,New Hampshire,0.2
1987.0,New Jersey,2.8
1987.0,New Mexico,45798.29999999977
1987.0,New York,94.59999999999997
1987.0,North Carolina,4225.599999999999
1987.0,North Dakota,6951.699999999993
1987.0,Ohio,1049.8999999999999
1987.0,Oklahoma,5177.099999999999
1987.0,Oregon,364879.4000000051
1987.0,Pennsylvania,45.6
1987.0,South Carolina,502.3
1987.0,South Dakota,26583.00000000003
1987.0,Tennessee,7823.2000000000035
1987.0,Texas,10669.30000000001
1987.0,Utah,68910.30000000008
1987.0,Virginia,2800.5999999999985
1987.0,Washington,56508.29999999996
1987.0,West Virginia,761.6000000000003
1987.0,Wisconsin,1341.2999999999954
1987.0,Wyoming,11049.900000000023
1988.0,Alabama,1108.1
1988.0,Alaska,4091886.5000000023
1988.0,Arizona,73845.8999999992
1988.0,Arkansas,3034.399999999999
1988.0,California,247699.79999999926
1988.0,Colorado,76548.80000000005
1988.0,Delaware,25.0
1988.0,District of Columbia,24.099999999999998
1988.0,Florida,59473.39999999998
1988.0,Georgia,1207.2
1988.0,Guam,56.0
1988.0,Hawaii,188.79999999999998
1988.0,Idaho,1527329.3000000126
1988.0,Illinois,427.8
1988.0,Indiana,937.9000000000002
1988.0,Iowa,210.5
1988.0,Kansas,9254.3
1988.0,Kentucky,5248.800000000002
1988.0,Louisiana,10171.400000000007
1988.0,Maine,5.0
1988.0,Maryland,198.5
1988.0,Massachusetts,23.400000000000002
1988.0,Michigan,1140.3
1988.0,Minnesota,24003.300000000014
1988.0,Mississippi,20902.299999999977
1988.0,Missouri,14560.100000000004
1988.0,Montana,1464748.6000000224
1988.0,Nebraska,13058.799999999992
1988.0,Nevada,115479.20000000029
1988.0,New Jersey,44.800000000000004
1988.0,New Mexico,51916.90000000003
1988.0,New York,57.80000000000001
1988.0,North Carolina,5435.9000000000015
1988.0,North Dakota,66712.49999999994
1988.0,Ohio,421.90000000000015
1988.0,Oklahoma,8072.900000000011
1988.0,Oregon,63743.59999999944
1988.0,Pennsylvania,44.70000000000001
1988.0,Puerto Rico,176.0
1988.0,Rhode Island,3.0
1988.0,South Carolina,2556.1999999999994
1988.0,South Dakota,75742.69999999978
1988.0,Tennessee,7296.300000000005
1988.0,Texas,13984.500000000016
1988.0,Utah,107291.10000000005
1988.0,Virginia,2267.999999999997
1988.0,Washington,139835.90000000055
1988.0,West Virginia,280.5
1988.0,Wisconsin,2685.19999999999
1988.0,Wyoming,978146.0999999982
1989.0,Alabama,491.2000000000001
1989.0,Alaska,63554.49999999997
1989.0,Arizona,98424.89999999852
1989.0,Arkansas,5333.799999999997
1989.0,California,155200.40000000683
1989.0,Colorado,28054.099999999675
1989.0,District of Columbia,4.1
1989.0,Florida,380546.3000000001
1989.0,Georgia,4793.100000000007
1989.0,Guam,151.5
1989.0,Hawaii,603.4000000000001
1989.0,Idaho,222998.50000000373
1989.0,Illinois,490.29999999999995
1989.0,Indiana,456.40000000000003
1989.0,Iowa,67.5
1989.0,Kansas,7034.200000000001
1989.0,Kentucky,2497.8999999999996
1989.0,Louisiana,15990.700000000004
1989.0,Maine,1.0
1989.0,Maryland,107.29999999999998
1989.0,Massachusetts,13.199999999999996
1989.0,Michigan,837.0000000000006
1989.0,Minnesota,61901.2
1989.0,Mississippi,3655.399999999999
1989.0,Missouri,12171.500000000002
1989.0,Montana,20819.000000000146
1989.0,Nebraska,118901.7000000001
1989.0,Nevada,40241.49999999994
1989.0,New Hampshire,3.4
1989.0,New Jersey,46.400000000000006
1989.0,New Mexico,165109.8
1989.0,New York,211.49999999999986
1989.0,North Carolina,3073.399999999998
1989.0,North Dakota,8559.599999999999
1989.0,Ohio,110.89999999999998
1989.0,Oklahoma,5365.900000000001
1989.0,Oregon,115632.20000000147
1989.0,Pennsylvania,10.399999999999997
1989.0,Puerto Rico,0.0
1989.0,South Carolina,3240.1000000000004
1989.0,South Dakota,14505.700000000037
1989.0,Tennessee,487.0
1989.0,Texas,26374.699999999986
1989.0,Utah,61073.29999999979
1989.0,Virginia,1547.6999999999994
1989.0,Washington,15937.00000000005
1989.0,West Virginia,102.10000000000001
1989.0,Wisconsin,567.6000000000012
1989.0,Wyoming,5283.800000000013
1990.0,Alabama,1380.8999999999994
1990.0,Alaska,4787681.8999999985
1990.0,Arizona,62711.29999999878
1990.0,Arkansas,2211.999999999999
1990.0,California,329776.2999999993
1990.0,Colorado,11230.200000000199
1990.0,Delaware,4.5
1990.0,District of Columbia,0.30000000000000004
1990.0,Florida,172526.4000000001
1990.0,Georgia,30680.79999999997
1990.0,Hawaii,156.70000000000002
1990.0,Idaho,140983.79999999976
1990.0,Illinois,340.8
1990.0,Indiana,318.4000000000001
1990.0,Iowa,1072.3
1990.0,Kansas,519.3999999999999
1990.0,Kentucky,2245.0999999999995
1990.0,Louisiana,4331.500000000002
1990.0,Maine,0.30000000000000004
1990.0,Maryland,73.39999999999998
1990.0,Massachusetts,2.0
1990.0,Michigan,109.89999999999999
1990.0,Minnesota,68528.7
1990.0,Mississippi,9524.2
1990.0,Missouri,4598.699999999999
1990.0,Montana,102705.00000000004
1990.0,Nebraska,9534.199999999997
1990.0,Nevada,28823.09999999985
1990.0,New Jersey,51.30000000000001
1990.0,New Mexico,150454.79999999952
1990.0,New York,156.09999999999988
1990.0,North Carolina,4300.4000000000015
1990.0,North Dakota,5121.399999999998
1990.0,Ohio,85.3
1990.0,Oklahoma,8152.800000000001
1990.0,Oregon,181385.50000000052
1990.0,Pennsylvania,720.4000000000002
1990.0,Puerto Rico,159.1
1990.0,South Carolina,650.6999999999999
1990.0,South Dakota,26867.59999999968
1990.0,Tennessee,574.0000000000007
1990.0,Texas,47251.29999999993
1990.0,Utah,29792.1
1990.0,Virginia,2172.9999999999986
1990.0,Washington,40958.49999999993
1990.0,West Virginia,78.8
1990.0,Wisconsin,116.49999999999987
1990.0,Wyoming,2639.8999999999955
1991.0,Alabama,1677.6999999999994
1991.0,Alaska,2674572.700000004
1991.0,Arizona,25245.299999999654
1991.0,Arkansas,1551.2999999999995
1991.0,California,29325.400000000347
1991.0,Colorado,2960.4499999999543
1991.0,Delaware,588.0
1991.0,District of Columbia,1.5000000000000002
1991.0,Florida,57635.19999999996
1991.0,Georgia,716.0
1991.0,Hawaii,3564.3
1991.0,Idaho,134355.69999999937
1991.0,Illinois,203.7
1991.0,Indiana,179.69999999999985
1991.0,Iowa,0.4
1991.0,Kansas,5107.000000000001
1991.0,Kentucky,11547.300000000001
1991.0,Louisiana,2957.699999999999
1991.0,Maine,45.0
1991.0,Maryland,1048.1999999999996
1991.0,Massachusetts,5.799999999999999
1991.0,Michigan,340.7000000000003
1991.0,Minnesota,4625.299999999997
1991.0,Mississippi,5686.500000000004
1991.0,Missouri,9243.400000000003
1991.0,Montana,87565.39999999986
1991.0,Nebraska,3625.999999999999
1991.0,Nevada,40040.099999999824
1991.0,New Hampshire,0.1
1991.0,New Jersey,16.300000000000004
1991.0,New Mexico,24018.100000000035
1991.0,New York,442.80000000000024
1991.0,North Carolina,4414.5999999999985
1991.0,North Dakota,4801.9000000000015
1991.0,Ohio,514.9000000000001
1991.0,Oklahoma,21992.699999999997
1991.0,Oregon,28749.499999999713
1991.0,Pennsylvania,70.29999999999998
1991.0,Puerto Rico,844.3
1991.0,Rhode Island,0.1
1991.0,South Carolina,2415.4999999999977
1991.0,South Dakota,43898.499999999716
1991.0,Tennessee,4004.699999999997
1991.0,Texas,10605.100000000008
1991.0,Utah,6833.4000000000115
1991.0,Vermont,8.0
1991.0,Virgin Islands,0.1
1991.0,Virginia,2111.7
1991.0,Washington,28386.799999999974
1991.0,West Virginia,14029.600000000006
1991.0,Wisconsin,906.5000000000007
1991.0,Wyoming,28538.199999999946
1992.0,Alabama,1055.8000000000004
1992.0,Alaska,206445.20000000022
1992.0,Arizona,25973.69999999986
1992.0,Arkansas,1494.8999999999999
1992.0,California,233913.30000000563
1992.0,Colorado,4120.949999999968
1992.0,Delaware,124.0
1992.0,District of Columbia,1.2000000000000002
1992.0,Florida,73851.30000000008
1992.0,Georgia,1743.199999999999
1992.0,Hawaii,10061.100000000006
1992.0,Idaho,819142.5999999895
1992.0,Illinois,235.4
1992.0,Indiana,236.29999999999978
1992.0,Iowa,86.3
1992.0,Kansas,232.0
1992.0,Kentucky,742.3
1992.0,Louisiana,24972.600000000002
1992.0,Maine,1.2000000000000002
1992.0,Maryland,1160.2999999999997
1992.0,Massachusetts,6.699999999999999
1992.0,Michigan,1084.9999999999998
1992.0,Minnesota,2980.7999999999893
1992.0,Mississippi,7074.000000000001
1992.0,Missouri,3758.499999999999
1992.0,Montana,41774.99999999999
1992.0,Nebraska,1407.0999999999997
1992.0,Nevada,89954.00000000089
1992.0,New Jersey,26.9
1992.0,New Mexico,70500.89999999964
1992.0,New York,310.4000000000001
1992.0,North Carolina,5730.500000000006
1992.0,North Dakota,6725.2000000000135
1992.0,Ohio,82.7
1992.0,Oklahoma,2863.7
1992.0,Oregon,80943.59999999827
1992.0,Pennsylvania,59.70000000000002
1992.0,Puerto Rico,127.0
1992.0,South Carolina,910.1000000000003
1992.0,South Dakota,27198.89999999994
1992.0,Tennessee,510.2
1992.0,Texas,24868.899999999954
1992.0,Utah,14683.100000000017
1992.0,Vermont,270.0
1992.0,Virginia,310.3000000000002
1992.0,Washington,79822.85000000021
1992.0,West Virginia,460.4000000000001
1992.0,Wisconsin,148.99999999999974
1992.0,Wyoming,7485.200000000013
1993.0,Alabama,2158.499999999999
1993.0,Alaska,1270847.0999999978
1993.0,Arizona,139435.1000000032
1993.0,Arkansas,1988.8999999999996
1993.0,California,231055.0
1993.0,Colorado,36910.19999999964
1993.0,Connecticut,6.0
1993.0,Delaware,1.0
